time,open,high,low,close
2025-09-16 03:00:00,1.36011,1.36057,1.3598,1.36017
2025-09-16 04:00:00,1.36016,1.36062,1.35979,1.36033
2025-09-16 05:00:00,1.36032,1.36143,1.3603100000000001,1.3612199999999999
2025-09-16 06:00:00,1.3612199999999999,1.3624800000000001,1.36106,1.36173
2025-09-16 07:00:00,1.36173,1.36176,1.3612199999999999,1.3615599999999999
2025-09-16 08:00:00,1.3615599999999999,1.3620999999999999,1.36143,1.36185
2025-09-16 09:00:00,1.36211,1.3633600000000001,1.36197,1.363
2025-09-16 10:00:00,1.36301,1.3643100000000001,1.36264,1.36283
2025-09-16 11:00:00,1.36283,1.36383,1.3624100000000001,1.36267
2025-09-16 12:00:00,1.36264,1.36459,1.36261,1.36421
2025-09-16 13:00:00,1.36422,1.3642400000000001,1.36261,1.3626800000000001
2025-09-16 14:00:00,1.3626800000000001,1.36497,1.36242,1.3643100000000001
2025-09-16 15:00:00,1.36432,1.3646099999999999,1.36249,1.36407
2025-09-16 16:00:00,1.36408,1.36592,1.36389,1.3658000000000001
2025-09-16 17:00:00,1.36579,1.36719,1.3649200000000001,1.36567
2025-09-16 18:00:00,1.36567,1.36577,1.36388,1.3653
2025-09-16 19:00:00,1.36531,1.36638,1.36508,1.36579
2025-09-16 20:00:00,1.36581,1.3668,1.36529,1.36587
2025-09-16 21:00:00,1.36586,1.36642,1.36558,1.36594
2025-09-16 22:00:00,1.36594,1.36616,1.36502,1.3651200000000001
2025-09-16 23:00:00,1.36513,1.36539,1.36417,1.36449
2025-09-17 00:00:00,1.36452,1.36493,1.3639700000000001,1.36422
2025-09-17 01:00:00,1.36422,1.3654600000000001,1.3639999999999999,1.36501
2025-09-17 02:00:00,1.36501,1.3655599999999999,1.36491,1.36527
2025-09-17 03:00:00,1.36527,1.36591,1.36448,1.36452
2025-09-17 04:00:00,1.36452,1.36481,1.36396,1.36433
2025-09-17 05:00:00,1.36433,1.36453,1.36408,1.36432
2025-09-17 06:00:00,1.36432,1.36462,1.36411,1.36432
2025-09-17 07:00:00,1.36432,1.3644,1.3641,1.36419
2025-09-17 08:00:00,1.3642,1.36493,1.3642,1.36486
2025-09-17 09:00:00,1.3643399999999999,1.36507,1.3635,1.36398
2025-09-17 10:00:00,1.36399,1.36417,1.36299,1.36347
2025-09-17 11:00:00,1.36347,1.36523,1.36322,1.36401
2025-09-17 12:00:00,1.36401,1.36564,1.3639999999999999,1.36487
2025-09-17 13:00:00,1.36487,1.36524,1.36385,1.3644
2025-09-17 14:00:00,1.36441,1.36523,1.36401,1.36468
2025-09-17 15:00:00,1.36469,1.36542,1.36435,1.36541
2025-09-17 16:00:00,1.36542,1.36647,1.36483,1.36627
2025-09-17 17:00:00,1.36628,1.36694,1.3658000000000001,1.36594
2025-09-17 18:00:00,1.36593,1.36665,1.36552,1.36589
2025-09-17 19:00:00,1.36589,1.36696,1.36575,1.3665
2025-09-17 20:00:00,1.36651,1.36686,1.36601,1.36634
2025-09-17 21:00:00,1.36603,1.37265,1.36249,1.3639700000000001
2025-09-17 22:00:00,1.3639700000000001,1.36657,1.36341,1.3637299999999999
2025-09-17 23:00:00,1.3637299999999999,1.36385,1.36196,1.36229
2025-09-18 00:00:00,1.36232,1.36293,1.36194,1.36239
2025-09-18 01:00:00,1.36239,1.36333,1.36239,1.36295
